scientific_name,class,order,family,family_common,wikipedia_url,inaturalist_url
Acrocephalus agricola,,,,,https://en.wikipedia.org/wiki/Acrocephalus_agricola,https://www.inaturalist.org/taxa/116791
Acrocephalus arundinaceus,,,,,https://en.wikipedia.org/wiki/Acrocephalus_arundinaceus,https://www.inaturalist.org/taxa/116792
Acrocephalus astrolabii,,,,,https://en.wikipedia.org/wiki/Acrocephalus_astrolabii,https://www.inaturalist.org/taxa/339720
Acrocephalus atyphus,,,,,https://en.wikipedia.org/wiki/Acrocephalus_atyphus,https://www.inaturalist.org/taxa/116793
Acrocephalus australis,,,,,https://en.wikipedia.org/wiki/Acrocephalus_australis,https://www.inaturalist.org/taxa/116794
Acrocephalus baeticatus,,,,,https://en.wikipedia.org/wiki/Acrocephalus_baeticatus,https://www.inaturalist.org/taxa/144927
Acrocephalus bistrigiceps,,,,,https://en.wikipedia.org/wiki/Acrocephalus_bistrigiceps,https://www.inaturalist.org/taxa/116795
Acrocephalus brevipennis,,,,,https://en.wikipedia.org/wiki/Acrocephalus_brevipennis,https://www.inaturalist.org/taxa/116766
Acrocephalus caffer,,,,,https://en.wikipedia.org/wiki/Acrocephalus_caffer,https://www.inaturalist.org/taxa/116767
Acrocephalus concinens,,,,,https://en.wikipedia.org/wiki/Acrocephalus_concinens,https://www.inaturalist.org/taxa/116796
Acrocephalus dumetorum,,,,,https://en.wikipedia.org/wiki/Acrocephalus_dumetorum,https://www.inaturalist.org/taxa/116797
Acrocephalus familiaris,,,,,https://en.wikipedia.org/wiki/Acrocephalus_familiaris,https://www.inaturalist.org/taxa/116756
Acrocephalus gracilirostris,,,,,https://en.wikipedia.org/wiki/Acrocephalus_gracilirostris,https://www.inaturalist.org/taxa/116798
Acrocephalus griseldis,,,,,https://en.wikipedia.org/wiki/Acrocephalus_griseldis,https://www.inaturalist.org/taxa/116768
Acrocephalus hiwae,,,,,https://en.wikipedia.org/wiki/Acrocephalus_hiwae,https://www.inaturalist.org/taxa/339715
Acrocephalus kerearako,,,,,https://en.wikipedia.org/wiki/Acrocephalus_kerearako,https://www.inaturalist.org/taxa/117145
Acrocephalus longirostris,,,,,https://en.wikipedia.org/wiki/Acrocephalus_longirostris,https://www.inaturalist.org/taxa/367659
Acrocephalus luscinius,,,,,https://en.wikipedia.org/wiki/Acrocephalus_luscinius,https://www.inaturalist.org/taxa/116757
Acrocephalus melanopogon,,,,,https://en.wikipedia.org/wiki/Acrocephalus_melanopogon,https://www.inaturalist.org/taxa/116799
Acrocephalus mendanae,,,,,https://en.wikipedia.org/wiki/Acrocephalus_mendanae,https://www.inaturalist.org/taxa/116800
Acrocephalus musae,,,,,https://en.wikipedia.org/wiki/Acrocephalus_musae,https://www.inaturalist.org/taxa/339718
Acrocephalus newtoni,,,,,https://en.wikipedia.org/wiki/Acrocephalus_newtoni,https://www.inaturalist.org/taxa/116801
Acrocephalus nijoi,,,,,https://en.wikipedia.org/wiki/Acrocephalus_nijoi,https://www.inaturalist.org/taxa/339716
Acrocephalus orientalis,,,,,https://en.wikipedia.org/wiki/Acrocephalus_orientalis,https://www.inaturalist.org/taxa/144928
Acrocephalus orinus,,,,,https://en.wikipedia.org/wiki/Acrocephalus_orinus,https://www.inaturalist.org/taxa/116762
Acrocephalus paludicola,,,,,https://en.wikipedia.org/wiki/Acrocephalus_paludicola,https://www.inaturalist.org/taxa/117181
