scientific_name,locale,common_name
Micromacronus sordidus,fi,Mindanao Plumed-Warbler
Micromonacha lanceolata,fi,rastaslaiskuri
Micromys minutus,fi,vaivaishiiri
Micronisus gabar,fi,pikkulauluhaukka
Micronomus norfolkensis,fi,norfolkinhännäkkö
Microparra capensis,fi,pikkujassana
Micropsitta bruijnii,fi,vuorikaijanen
Micropsitta finschii,fi,viherkaijanen
Micropsitta geelvinkiana,fi,sinilakkikaijanen
Micropsitta keiensis,fi,sammalkaijanen
Micropsitta meeki,fi,suomupääkaijanen
Micropsitta pusio,fi,keltapääkaijanen
Micropternus brachyurus,fi,aasiantöyhtötikka
Micropygia schomburgkii,fi,sihinärääkkiäinen
Microrhopias quixensis,fi,viuhkapyrstömuura
Microsciurus alfari,fi,panamanoravainen
Microsciurus flaviventer,fi,amazonianoravainen
Microsciurus mimulus,fi,equadorinoravainen
Microspingus alticola,fi,perunsirppu
Microspingus cabanisi,fi,rusosirppu
Microspingus cinereus,fi,kalottisirppu
Microspingus erythrophrys,fi,leppäsirppu
Microspingus lateralis,fi,pensassirppu
Microspingus melanoleucus,fi,chaconsirppu
Microspingus torquatus,fi,sepelsirppu
Microspingus trifasciatus,fi,juovapääsirppu
Microspizias collaris,fi,pilvimetsähaukka
Microspizias superciliosus,fi,kolibrihaukka
Microstilbon burmeisteri,fi,kirviskolibri
Microtarsus eutilotus,fi,ruskoselkäbulbuli
Microtarsus fuscoflavescens,fi,andamaanienbulbuli
Microtarsus melanocephalos,fi,mustahuppubulbuli
Microtarsus melanoleucos,fi,pilkkasiipibulbuli
Microtarsus nieuwenhuisii,fi,jokibulbuli
Microtarsus priocephalus,fi,harmaakaulusbulbuli
Microtarsus urostictus,fi,filippiinienbulbuli
Microtus agrestis,fi,peltomyyrä
Microtus arvalis,fi,lännenkenttämyyrä
Microtus californicus,fi,kalifornianruohomyyrä
Microtus guentheri,fi,balkaninruohomyyrä
Microtus miurus,fi,alaskanlaulumyyrä
Microtus pennsylvanicus,fi,amerikanpeltomyyrä
Microtus pinetorum,fi,virginianruohomyyrä
Microtus xanthognathus,fi,kanadanruohomyyrä
Microwave_oven,fi,Mikroaaltouuni
Microxenops milleri,fi,pikkupystynokka
Micryletta steinegeri,fi,Stejneger's Paddy Frog
Milvago chimachima,fi,vaaleakarakara
Milvago chimango,fi,ruskokarakara
Milvus migrans,fi,haarahaukka
Milvus milvus,fi,isohaarahaukka
Mimus dorsalis,fi,vuorimatkija
Mimus gilvus,fi,tropiikkimatkija
Mimus graysoni,fi,socorronmatkija
Mimus gundlachii,fi,isomatkija
Mimus longicaudatus,fi,kaktusmatkija
Mimus macdonaldi,fi,vampyyrimatkija
Mimus melanotis,fi,sancristobalinmatkija
Mimus parvulus,fi,galápagosinmatkija
Mimus patagonicus,fi,patagonianmatkija
Mimus polyglottos,fi,taiturimatkija
Mimus saturninus,fi,kylämatkija
Mimus thenca,fi,chilenmatkija
Mimus trifasciatus,fi,darwininmatkija
Mimus triurus,fi,valkosiipimatkija
Minervarya agricola,fi,Common Paddy Field Frog
Miniopterus australis,fi,pikkupitkäsormi
Miniopterus fraterculus,fi,sambianpitkäsormi
Miniopterus fuliginosus,fi,Eastern Bent-winged Bat
Miniopterus maghrebensis,fi,Maghrebian Bent-wing Bat
Miniopterus natalensis,fi,Natal Long-fingered Bat
Miniopterus orianae,fi,Australasian Bent-winged Bat
Miniopterus schreibersii,fi,pitkäsormilepakko
Minla ignotincta,fi,kirjominla
Mino anais,fi,kultamaina
Mino dumontii,fi,kultanaamamaina
Mino kreffti,fi,pitkäpyrstömaina
Miogryllus verticalis,fi,Eastern Striped Cricket
Mionectes galbinus,fi,Olive-striped Flycatcher
Mionectes macconnelli,fi,pikkuvihernappaaja
Mionectes oleagineus,fi,vihernappaaja
Mionectes olivaceus,fi,viiruvihernappaaja
Mionectes roraimae,fi,Sierra de Lema Flycatcher
Mionectes rufiventris,fi,harmaapäänappaaja
Mionectes striaticollis,fi,vuorivihernappaaja
Miopithecus ogouensis,fi,Northern Talapoin
Mirafra affinis,fi,srilankanpensaskiuru
Mirafra africana,fi,punaniskakiuru
Mirafra albicauda,fi,tummapensaskiuru
Mirafra apiata,fi,kapinräikkäkiuru
Mirafra assamica,fi,aasianpensaskiuru
Mirafra cantillans,fi,riisisavannikiuru
Mirafra cheniana,fi,valkokurkkukiuru
Mirafra cordofanica,fi,kultakiuru
Mirafra erythrocephala,fi,indokiinanpensaskiuru
Mirafra erythroptera,fi,intianpensaskiuru
Mirafra fasciolata,fi,räikkäkiuru
Mirafra javanica,fi,riisisavannikiuru
Mirafra passerina,fi,kalaharinkiuru
Mirafra pulpa,fi,sagoninkiuru
Mirafra rufocinnamomea,fi,pärinäkiuru
Mirafra williamsi,fi,marsabitinkiuru
Mirounga angustirostris,fi,pohjanmerinorsu
Mirounga leonina,fi,etelänisohylje
Mitrephanes olivaceus,fi,oliivitöyhtösieppari
Mitrephanes phaeocercus,fi,töyhtösieppari
Mitrospingus cassinii,fi,valkosilmätangara
Mitrospingus oleagineus,fi,tepuitangara
Mitu mitu,fi,alagoasinhokko
Mitu salvini,fi,viidakkohokko
Mitu tomentosum,fi,samettihokko
Mitu tuberosum,fi,kyhmyhokko
Mixophyes fasciolatus,fi,Great Barred Frog
Mixornis bornensis,fi,Bold-striped Tit-Babbler
Mixornis flavicollis,fi,jaavantiheikkötimali
Mixornis gularis,fi,keltatiheikkötimali
Mixornis kelleyi,fi,laosintiheikkötimali
Mixornis prillwitzi,fi,Kangean Tit-Babbler
Mniotilta varia,fi,kiipijäkerttuli
Modulatrix stictigula,fi,rokkorastas
Mogannia formosana,fi,Mogannia formosana
Mogannia hebes,fi,Grass Cicada
Moho apicalis,fi,oahunkiharapyrstö
Moho bishopi,fi,mauinkiharapyrstö
Moho braccatus,fi,kauainkiharapyrstö
Moho nobilis,fi,havaijinkiharapyrstö
Mohoua albicilla,fi,whitehead
Mohoua novaeseelandiae,fi,pipipi
Mohoua ochrocephala,fi,mohua
Molossus alvarezi,fi,Alvarez's Mastiff Bat
Molossus currentium,fi,samettisukashännäkkö
Molossus molossus,fi,sukashännäkkö
Molossus nigricans,fi,Black mastiff bat
Molossus rufus,fi,tummasukashännäkkö
Molossus sinaloae,fi,sinaloansukashännäkkö
Molothrus aeneus,fi,pronssiturpiaali
Molothrus armenti,fi,Bronze-brown Cowbird
Molothrus ater,fi,lehmäturpiaali
Molothrus bonariensis,fi,hohtoturpiaali
Molothrus oryzivorus,fi,kaulusturpiaali
Molothrus rufoaxillaris,fi,silkkiturpiaali
Momotus aequatorialis,fi,ylänkömomotti
Momotus bahamensis,fi,trinidadinmomotti
Momotus coeruliceps,fi,sinikruunumomotti
Momotus lessonii,fi,Lesson's Motmot
Momotus mexicanus,fi,kastanjamomotti
Momotus momota,fi,siniotsamomotti
Momotus subrufescens,fi,puhkumomotti
Monachella muelleriana,fi,jokisieppo
Monarcha castaneiventris,fi,rusovatsamonarkki
Monarcha cinerascens,fi,harmaapäämonarkki
Monarcha frater,fi,mustasiipimonarkki
Monarcha godeffroyi,fi,yapinmonarkki
Monarcha melanopsis,fi,siniselkämonarkki
Monarcha richardsii,fi,salomoninmonarkki
Monarcha takatsukasae,fi,mariaanienmonarkki
Monasa atra,fi,mustanunna
Monasa flavirostris,fi,keltanokkanunna
Monasa morphoeus,fi,partanunna
Monasa nigrifrons,fi,nokinunna
Monias benschi,fi,arokyyhkyrääkkä
Montecincla cachinnans,fi,keralannauruli
Montecincla fairbanki,fi,vatukkanauruli
Montecincla jerdoni,fi,keralannaurutimali
Montecincla meridionalis,fi,Ashambu Laughingthrush
Monticola angolensis,fi,savannikivikkorastas
Monticola brevipes,fi,namibiankivikkorastas
Monticola cinclorhyncha,fi,himalajankivikkorastas
Monticola erythronotus,fi,Amber Mountain Rock-Thrush
Monticola explorator,fi,rinnekivikkorastas
Monticola gularis,fi,mantšuriankivikkorastas
Monticola imerina,fi,madagaskarintasku
Monticola rufiventris,fi,isokivikkorastas
Monticola rufocinereus,fi,pikkukivikkorastas
Monticola rupestris,fi,kapinkivikkorastas
Monticola saxatilis,fi,kivikkorastas
Monticola semirufus,fi,pilkkasiipitasku
Monticola sharpei,fi,rotkotasku
Monticola solitarius,fi,sinirastas
Montifringilla adamsi,fi,tuhkalumivarpunen
Montifringilla blanfordi,fi,kanelilumivarpunen
Montifringilla henrici,fi,tiibetinlumivarpunen
Montifringilla nivalis,fi,lumivarpunen
Montifringilla taczanowskii,fi,piiskulumivarpunen
Mops ansorgei,fi,partatöyhtöhännäkkö
Mops condylurus,fi,afrikanhännäkkö
Mops jobensis,fi,uuden-guineantöyhtöhännäkkö
Mops midas,fi,isohännäkkö
Mops plicatus,fi,intiantöyhtöhännäkkö
Mops pumilus,fi,Little Free-tailed Bat
Mormoops blainvillei,fi,antillienkummituslepakko
Mormoops megalophylla,fi,kummituslepakko
Mormopterus kalinowskii,fi,perunpeikkohännäkkö
Morococcyx erythropygus,fi,pikkumaakäki
Morphnarchus princeps,fi,vuoriviidakkohaukka
Morphnus guianensis,fi,pikkuharpyija
Morus bassanus,fi,suula
Morus capensis,fi,kapinsuula
Morus serrator,fi,australiansuula
Moschus moschiferus,fi,myskikauris
Mosleyia rheocola,fi,Common Mist Frog
Motacilla aguimp,fi,afrikanvästäräkki
Motacilla alba,fi,västäräkki
Motacilla bocagii,fi,sãotoménkerttu
Motacilla capensis,fi,suvantovästäräkki
Motacilla cinerea,fi,virtavästäräkki
Motacilla citreola,fi,sitruunavästäräkki
Motacilla clara,fi,koskivästäräkki
Motacilla flava,fi,keltavästäräkki
Motacilla flaviventris,fi,madagaskarinvästäräkki
Motacilla grandis,fi,japaninvästäräkki
Motacilla maderaspatensis,fi,mustavästäräkki
Motacilla samveasnae,fi,mekonginvästäräkki
Motacilla tschutschensis,fi,aasiankeltavästäräkki
Motor_vehicle_(road),fi,Moottoriajoneuvo (tie)
Motorcycle,fi,Moottoripyörä
Moupinia poecilotis,fi,ruostemupinia
Mugadina marshalli,fi,Yellow Grass-ticker
Mulleripicus fuliginosus,fi,Southern Sooty-Woodpecker
Mulleripicus fulvus,fi,celebesinhelmitikka
Mulleripicus funebris,fi,nokihelmitikka
Mulleripicus pulverulentus,fi,isohelmitikka
Mundia elpenor,fi,ascensioninluhtakana
Mungos mungo,fi,mangusti
Muntiacus muntjak,fi,muntjakki
Muntiacus reevesi,fi,kiinanmuntjakki
Muntiacus vaginalis,fi,Northern Red Muntjac
Murina bicolor,fi,Bicolored Tube-nosed Bat
Mus musculus,fi,kotihiiri
Mus spretus,fi,algerianhiiri
Muscardinus avellanarius,fi,pähkinähiiri
Muscicapa adusta,fi,vuoriharmaasieppo
Muscicapa aquatica,fi,rantasieppo
Muscicapa cassini,fi,purosieppo
Muscicapa dauurica,fi,ruskosieppo
Muscicapa epulata,fi,viidakkoharmaasieppo
Muscicapa ferruginea,fi,ruostesieppo
Muscicapa gambagae,fi,pikkuharmaasieppo
Muscicapa griseisticta,fi,viiruharmaasieppo
Muscicapa muttui,fi,intianharmaasieppo
Muscicapa randi,fi,filippiinienruskosieppo
Muscicapa segregata,fi,sumbanruskosieppo
Muscicapa sethsmithi,fi,keltajalkasieppo
Muscicapa sibirica,fi,siperiansieppo
Muscicapa sodhii,fi,Sulawesi Brown Flycatcher
Muscicapa striata,fi,harmaasieppo
Muscicapa williamsoni,fi,Brown-streaked Flycatcher
Muscigralla brevicauda,fi,lyhytpyrstötyranni
Muscipipra vetula,fi,halkopyrstötyranni
Muscisaxicola albifrons,fi,isomaatyranni
Muscisaxicola albilora,fi,louhikkotyranni
Muscisaxicola alpinus,fi,ruohomaatyranni
Muscisaxicola capistratus,fi,ruskovatsatyranni
Muscisaxicola cinereus,fi,harmaamaatyranni
Muscisaxicola flavinucha,fi,keltaniskatyranni
Muscisaxicola frontalis,fi,mustalakkityranni
Muscisaxicola griseus,fi,tuhkamaatyranni
Muscisaxicola juninensis,fi,punanmaatyranni
Muscisaxicola maclovianus,fi,nokinaamatyranni
Muscisaxicola maculirostris,fi,pahtamaatyranni
Muscisaxicola rufivertex,fi,ruskoniskatyranni
Music,fi,Musiikki
Musical_instrument,fi,Soitin
Musophaga rossae,fi,kongonviolettiturako
Mustela erminea,fi,kärppä
Mustela furo,fi,Domestic Ferret
Mustela nigripes,fi,mustajalkahilleri
Mustela nivalis,fi,lumikko
Mustela putorius,fi,hilleri
Mustela richardsonii,fi,American Ermine
Mustelirallus albicollis,fi,sepelhuitti
Mustelirallus cerverai,fi,kuubanluhtakana
Mustelirallus colombianus,fi,kolumbianhuitti
Mustelirallus erythrops,fi,punajalkahuitti
Myadestes coloratus,fi,panamanrastuli
Myadestes elisabeth,fi,kuubanrastuli
Myadestes genibarbis,fi,antillienrastuli
Myadestes lanaiensis,fi,lanainrastuli
Myadestes melanops,fi,rosvorastuli
Myadestes myadestinus,fi,kauainisorastuli
Myadestes obscurus,fi,havaijinrastuli
Myadestes occidentalis,fi,ruostesiipirastuli
Myadestes palmeri,fi,kauainpikkurastuli
Myadestes ralloides,fi,andienrastuli
Myadestes townsendi,fi,liuskerastuli
Myadestes unicolor,fi,savirastuli
Myadestes woahensis,fi,amaui
Mycerobas affinis,fi,tamminokkavarpunen
Mycerobas carnipes,fi,katajanokkavarpunen
Mycerobas icterioides,fi,mäntynokkavarpunen
Mycerobas melanozanthos,fi,nokinokkavarpunen
Mycteria americana,fi,amerikaniibishaikara
Mycteria cinerea,fi,sundaniibishaikara
Mycteria ibis,fi,afrikaniibishaikara
Mycteria leucocephala,fi,aasianiibishaikara
Myiagra albiventris,fi,samoanmonarkki
Myiagra alecto,fi,mangrovemonarkki
Myiagra atra,fi,kobolttimonarkki
Myiagra azureocapilla,fi,sinilakkimonarkki
Myiagra caledonica,fi,uudenkaledonianmonarkki
Myiagra castaneigularis,fi,Chestnut-throated Flycatcher
Myiagra cervinicauda,fi,ruostepyrstömonarkki
Myiagra cyanoleuca,fi,samettimonarkki
Myiagra eichhorni,fi,Velvet Flycatcher
Myiagra erythrops,fi,Palau Flycatcher
Myiagra ferrocyanea,fi,teräsmonarkki
Myiagra freycineti,fi,Guam Flycatcher
Myiagra galeata,fi,molukkienmonarkki
Myiagra hebetior,fi,lavongainmonarkki
Myiagra inquieta,fi,lekuttelijamonarkki
Myiagra nana,fi,valkokurkkumonarkki
Myiagra oceanica,fi,mikronesianmonarkki
Myiagra pluto,fi,Pohnpei Flycatcher
Myiagra rubecula,fi,lyijymonarkki
Myiagra ruficollis,fi,leveänokkamonarkki
Myiagra vanikorensis,fi,ruostevatsamonarkki
Myiarchus antillarum,fi,puertoriconnapsu
Myiarchus apicalis,fi,kolumbiannapsu
Myiarchus barbirostris,fi,jamaikanpikkunapsu
Myiarchus cephalotes,fi,andiennapsu
Myiarchus cinerascens,fi,trillinapsu
Myiarchus crinitus,fi,isotöyhtönapsu
Myiarchus ferox,fi,tummasiipinapsu
Myiarchus flavidior,fi,Salvadoran Flycatcher
Myiarchus magnirostris,fi,galápagosinnapsu
Myiarchus nugator,fi,grenadannapsu
Myiarchus nuttingi,fi,viheltäjänapsu
Myiarchus oberi,fi,antilliennapsu
Myiarchus panamensis,fi,panamannapsu
Myiarchus phaeocephalus,fi,nokitöyhtönapsu
Myiarchus sagrae,fi,kuubannapsu
Myiarchus semirufus,fi,perunnapsu
Myiarchus stolidus,fi,mangrovenapsu
Myiarchus swainsoni,fi,harmaanapsu
Myiarchus tuberculifer,fi,pikkunapsu
Myiarchus tyrannulus,fi,ruskotöyhtönapsu
Myiarchus validus,fi,jamaikannapsu
Myiarchus venezuelensis,fi,venezuelannapsu
Myiarchus yucatanensis,fi,jukataninnapsu
Myiobius atricaudus,fi,pensasvilkkuperä
Myiobius barbatus,fi,vaaleavilkkuperä
Myiobius sulphureipygius,fi,Sulphur-rumped Flycatcher
Myiobius villosus,fi,tummavilkkuperä
Myioborus albifacies,fi,valkonaamakerttuli
Myioborus albifrons,fi,valkorillikerttuli
Myioborus brunniceps,fi,nokiviuhkakerttuli
Myioborus cardonai,fi,venezuelanviuhkakerttuli
Myioborus castaneocapilla,fi,tepuiviuhkakerttuli
Myioborus flavivertex,fi,kolumbianviuhkakerttuli
Myioborus melanocephalus,fi,andienviuhkakerttuli
Myioborus miniatus,fi,huppuviuhkakerttuli
Myioborus ornatus,fi,keltapääkerttuli
Myioborus pariae,fi,keltarillikerttuli
Myioborus pictus,fi,loistoviuhkakerttuli
Myioborus torquatus,fi,suruvyökerttuli
Myiodynastes bairdii,fi,perunväijy
Myiodynastes chrysocephalus,fi,viiksiväijy
Myiodynastes hemichrysus,fi,costaricanväijy
Myiodynastes luteiventris,fi,rotkoväijy
Myiodynastes maculatus,fi,viiruväijy
Myiomela diana,fi,sundanleppälintu
Myiomela leucura,fi,sinileppälintu
Myiomela sumatrana,fi,Myiomela diana sumatrana
Myiopagis caniceps,fi,harmaapikkuelenia
Myiopagis cinerea,fi,Amazonian Elaenia
Myiopagis cotta,fi,jamaikanelenia
Myiopagis flavivertex,fi,viidakkoelenia
Myiopagis gaimardii,fi,pikkuelenia
Myiopagis olallai,fi,andienpikkuelenia
Myiopagis parambae,fi,Choco Elaenia
Myiopagis subplacens,fi,savannipikkuelenia
Myiopagis viridicata,fi,viherpikkuelenia
Myiophobus crypterythrus,fi,Mouse-gray Flycatcher
Myiophobus cryptoxanthus,fi,tummahippiäisnappari
Myiophobus fasciatus,fi,viiruhippiäisnappari
Myiophobus flavicans,fi,viherhippiäisnappari
Myiophobus inornatus,fi,rillihippiäisnappari
Myiophobus phoenicomitra,fi,harmaahippiäisnappari
Myiophobus roraimae,fi,pilvihippiäisnappari
Myiophobus rufescens,fi,Rufescent Flycatcher
Myiopsitta luchsi,fi,Cliff Parakeet
Myiopsitta monachus,fi,munkkiaratti
Myiornis albiventris,fi,perunkääpiötypäkkö
Myiornis atricapillus,fi,nokipäätypäkkö
Myiornis auricularis,fi,täpläkorvatypäkkö
Myiornis ecaudatus,fi,töpökääpiötypäkkö
Myiotheretes fumigatus,fi,ruostesiipityranni
Myiotheretes fuscorufus,fi,ruostevatsatyranni
Myiotheretes pernix,fi,kolumbianruostetyranni
Myiotheretes striaticollis,fi,viirukurkkutyranni
Myiothlypis basilica,fi,santamartankerttuli
Myiothlypis bivittata,fi,duettokerttuli
Myiothlypis chlorophrys,fi,Choco Warbler
Myiothlypis chrysogaster,fi,oliivikulmakerttuli
Myiothlypis cinereicollis,fi,harmaarintakerttuli
Myiothlypis conspicillata,fi,kolumbiankerttuli
Myiothlypis coronata,fi,tulikruunukerttuli
Myiothlypis flaveola,fi,kenttäkerttuli
Myiothlypis fraseri,fi,ecuadorinkerttuli
Myiothlypis fulvicauda,fi,virtakerttuli
Myiothlypis griseiceps,fi,venezuelankerttuli
Myiothlypis leucoblephara,fi,harmaakruunukerttuli
Myiothlypis leucophrys,fi,kilkuttajakerttuli
Myiothlypis luteoviridis,fi,keltakulmakerttuli
Myiothlypis nigrocristata,fi,mustakruunukerttuli
Myiothlypis rivularis,fi,jokikerttuli
Myiothlypis signata,fi,inkakerttuli
Myiotriccus ornatus,fi,keltaperänappari
Myiozetetes cayanensis,fi,trilliväijy
Myiozetetes granadensis,fi,tarhaväijy
Myiozetetes luteiventris,fi,pikkuväijy
Myiozetetes similis,fi,kimakkaväijy
Myocastor coypus,fi,nutria
Myophonus blighi,fi,srilankanjokirastas
Myophonus borneensis,fi,Bornean Whistling-Thrush
Myophonus caeruleus,fi,sinijokirastas
Myophonus castaneus,fi,Sumatran Whistling-Thrush
Myophonus glaucinus,fi,sundanjokirastas
Myophonus horsfieldii,fi,intianjokirastas
Myophonus insularis,fi,taiwaninjokirastas
Myophonus melanurus,fi,sumatranjokirastas
Myophonus robinsoni,fi,malakanjokirastas
Myopornis boehmi,fi,kiilatäpläsieppo
Myopsalta bassiana,fi,Bassian Buzzer
Myopsalta bisonabilis,fi,Adelaide Buzzer
Myopsalta mackinlayi,fi,Fence Buzzer
Myopsalta waterhousei,fi,Smoky Buzzer
Myornis senilis,fi,tuhkatapakulo
Myotis albescens,fi,vipeväsiippa
Myotis alcathoe,fi,pikkuviiksisiippa
Myotis atacamensis,fi,atacamansiippa
Myotis austroriparius,fi,karvavarvassiippa
Myotis bechsteinii,fi,korvasiippa
Myotis blythii,fi,hiirenkorvasiippa
Myotis brandtii,fi,isoviiksisiippa
Myotis californicus,fi,kaliforniansiippa
Myotis capaccinii,fi,pitkäsormisiippa
Myotis chiloensis,fi,chilensiippa
Myotis ciliolabrum,fi,Western Small-footed Myotis
Myotis crypticus,fi,Cryptic Myotis
Myotis dasycneme,fi,lampisiippa
Myotis daubentonii,fi,vesisiippa
Myotis emarginatus,fi,ruskosiippa
Myotis evotis,fi,pitkäkorvasiippa
Myotis fimbriatus,fi,Fringed Long-footed Myotis
Myotis formosus,fi,inkiväärisiippa
Myotis grisescens,fi,harmaasiippa
Myotis hasseltii,fi,bengalinsiippa
Myotis horsfieldii,fi,eteläaasiansiippa
Myotis keaysi,fi,karvajalkasiippa
Myotis laniger,fi,Chinese Water Myotis
Myotis leibii,fi,kääpiöruskosiippa
Myotis lucifugus,fi,pikkuruskosiippa
Myotis macropus,fi,Southern Myotis
Myotis martiniquensis,fi,martiniquensiippa
Myotis muricola,fi,muurisiippa
Myotis myotis,fi,isosiippa
Myotis mystacinus,fi,viiksisiippa
Myotis nattereri,fi,ripsisiippa
Myotis nigricans,fi,pikkumustasiippa
Myotis occultus,fi,Arizona Myotis
Myotis oxyotus,fi,vuorisiippa
Myotis pilosatibialis,fi,Northern Hairy-legged Myotis
Myotis punicus,fi,Felten's myotis
Myotis riparius,fi,mustasiippa
Myotis septentrionalis,fi,Northern Myotis
Myotis sodalis,fi,luolasiippa
Myotis thysanodes,fi,amerikanripsisiippa
Myotis velifer,fi,sonoransiippa
Myotis vivesi,fi,kalastajasiippa
Myotis volans,fi,pitkäjalkasiippa
Myotis yumanensis,fi,yumansiippa
Myotis zenatius,fi,Zenati Myotis
Myrmeciza longipes,fi,harmaakulmamuura
Myrmecocichla aethiops,fi,sahelinmuurahaistasku
Myrmecocichla arnotti,fi,valkolakkitasku
Myrmecocichla formicivora,fi,muurahaistasku
Myrmecocichla melaena,fi,etiopianmuurahaistasku
Myrmecocichla monticola,fi,vuoritasku
Myrmecocichla nigra,fi,termiittitasku
Myrmecocichla tholloni,fi,ruohikkotasku
Myrmecophaga tridactyla,fi,jurumi
Myrmelastes brunneiceps,fi,cuzconmuura
Myrmelastes caurensis,fi,isoliuskemuura
Myrmelastes humaythae,fi,helmisiipimuura
Myrmelastes hyperythrus,fi,räikkämuura
Myrmelastes leucostigma,fi,hopeavatsamuura
Myrmelastes rufifacies,fi,amazonianliuskemuura
Myrmelastes saturatus,fi,roraimanmuura
Myrmelastes schistaceus,fi,liuskemuura
Myrmeleotettix maculatus,fi,nuijaheinäsirkka
Myrmia micrura,fi,lyhytpyrstökolibri
Myrmoborus leucophrys,fi,kiipijämuura
Myrmoborus lophotes,fi,punatöyhtömuura
Myrmoborus lugubris,fi,tuhkarintamuura
Myrmoborus melanurus,fi,mustapyrstömuura
Myrmoborus myotherinus,fi,mustanaamamuura
Myrmochanes hemileucus,fi,valkovatsamuura
Myrmoderus eowilsoni,fi,Cordillera Azul Antbird
Myrmoderus ferrugineus,fi,rusoselkämuura
Myrmoderus loricatus,fi,valkokulmamuura
Myrmoderus ruficauda,fi,punapyrstömuura
Myrmoderus squamosus,fi,täplämuura
Myrmophylax atrothorax,fi,savannimuura
Myrmorchilus strigilatus,fi,viiruselkämuuranen
Myrmornis torquata,fi,kirjosiipimuura
Myrmothera berlepschi,fi,amazonianpalloluura
Myrmothera campanisona,fi,rastasluura
Myrmothera dives,fi,tiheikköluura
Myrmothera fulviventris,fi,punaperäluura
Myrmothera simplex,fi,valkokurkkuluura
Myrmothera subcanescens,fi,Tapajos Antpitta
Myrmotherula ambigua,fi,valkohiekkamuuranen
Myrmotherula assimilis,fi,lyijymuuranen
Myrmotherula axillaris,fi,valkokuvemuuranen
Myrmotherula behni,fi,tummasiipimuuranen
Myrmotherula brachyura,fi,kääpiömuuranen
Myrmotherula cherriei,fi,viirumuuranen
Myrmotherula fluminensis,fi,rionmuuranen
Myrmotherula grisea,fi,bolivianmuuranen
Myrmotherula ignota,fi,viiksikääpiömuuranen
Myrmotherula iheringi,fi,tuhkamuuranen
Myrmotherula klagesi,fi,paránmuuranen
Myrmotherula longicauda,fi,viirurintamuuranen
Myrmotherula longipennis,fi,pitkäsiipimuuranen
Myrmotherula menetriesii,fi,harmaarintamuuranen
Myrmotherula minor,fi,harmaalakkimuuranen
Myrmotherula multostriata,fi,amazonianviirumuuranen
Myrmotherula pacifica,fi,panamanviirumuuranen
Myrmotherula schisticolor,fi,liuskemuuranen
Myrmotherula sclateri,fi,keltavatsamuuranen
Myrmotherula snowi,fi,alagoasinmuuranen
Myrmotherula sunensis,fi,savumuuranen
Myrmotherula surinamensis,fi,ruskoviirumuuranen
Myrmotherula unicolor,fi,hiirimuuranen
Myrmotherula urosticta,fi,valkopyrstömuuranen
Myrtis fanny,fi,turkoosikurkkukolibri
Mystacornis crossleyi,fi,penkojavanga
Myza celebensis,fi,ruskocelebesinmesikko
Myza sarasinorum,fi,täpläcelebesinmesikko
Myzomela adolphinae,fi,pikkupunamesikko
Myzomela albigula,fi,louisiadenpunamesikko
Myzomela batjanensis,fi,Bacan Myzomela
Myzomela blasii,fi,seraminpunamesikko
Myzomela boiei,fi,molukkienpunamesikko
Myzomela caledonica,fi,New Caledonian Myzomela
Myzomela cardinalis,fi,kardinaalimesikko
Myzomela chermesina,fi,rotumanpunamesikko
Myzomela chloroptera,fi,celebesinpunamesikko
Myzomela cineracea,fi,bismarckinpunamesikko
Myzomela cruentata,fi,punamesikko
Myzomela dammermani,fi,sumbanpunamesikko
Myzomela eichhorni,fi,salomoninmesikko
Myzomela eques,fi,punakurkkumesikko
Myzomela erythrina,fi,Reddish Myzomela
Myzomela erythrocephala,fi,punahuppumesikko
Myzomela erythromelas,fi,uudenbritannianpunamesikko
Myzomela irianawidodoae,fi,Rote Myzomela
Myzomela jugularis,fi,fidžinpunamesikko
Myzomela kuehni,fi,wetarinpunamesikko
Myzomela lafargei,fi,bougainvillenpunamesikko
Myzomela longirostris,fi,Long-billed Myzomela
Myzomela malaitae,fi,malaitanpunamesikko
Myzomela melanocephala,fi,guadalcanalinpunamesikko
Myzomela nigrita,fi,rubiinimesikko
Myzomela nigriventris,fi,Samoan Myzomela
Myzomela obscura,fi,tuhkamesikko
Myzomela pammelaena,fi,mustamesikko
Myzomela prawiradilagae,fi,Alor Myzomela
Myzomela pulchella,fi,uudenirlanninpunamesikko
Myzomela rosenbergii,fi,punaviittamesikko
Myzomela rubratra,fi,mikronesianpunamesikko
Myzomela rubrobrunnea,fi,Biak Myzomela
Myzomela rubrotincta,fi,Red-tinged Myzomela
Myzomela sanguinolenta,fi,kellopunamesikko
Myzomela sclateri,fi,punarintamesikko
Myzomela simplex,fi,Moluccan Myzomela
Myzomela tristrami,fi,makiranpunamesikko
Myzomela vulnerata,fi,timorinpunamesikko
Myzomela wahe,fi,Taliabu Myzomela
Myzomela wakoloensis,fi,verimesikko
Myzornis pyrrhoura,fi,liekkipyrstö
NOISE,fi,kohina
Naemorhedus griseus,fi,Chinese Goral
Namibornis herero,fi,namibiantasku
Nannococcyx psix,fi,sainthelenankäki
Nannopsittaca dachilleae,fi,sinilakkiaranen
Nannopsittaca panychlora,fi,tepuiaranen
Nannopsittacus gulielmitertii,fi,oranssiviikunakaija
Nannopsittacus melanogenia,fi,täpläviikunakaija
Nannopsittacus nigrifrons,fi,naamioviikunakaija
