scientific_name,locale,common_name
Calamonastes fasciolatus,af,Gebande sanger
Calamonastes stierlingi,af,Stierlingse sanger
Calandrella cinerea,af,Rooikoplewerik
Calendulauda africanoides,af,Vaalbruinlewerik
Calendulauda albescens,af,Karoolewerik
Calendulauda burra,af,Rooilewerik
Calendulauda erythrochlamys,af,Duinlewerik
Calendulauda sabota,af,Sabotalewerik
Calidris alba,af,Drietoonstrandloper
Calidris alpina,af,Bontstrandloper
Calidris bairdii,af,Bairdse strandloper
Calidris canutus,af,Knoet
Calidris falcinellus,af,Breëbekstrandloper
Calidris ferruginea,af,Krombekstrandloper
Calidris fuscicollis,af,Witrugstrandloper
Calidris melanotos,af,Geelpootstrandloper
Calidris minuta,af,Kleinstrandloper
Calidris pugnax,af,Kemphaan
Calidris ruficollis,af,Rooinekstrandloper
Calidris subminuta,af,Langtoonstrandloper
Calidris subruficollis,af,Taanborsstrandloper
Calidris temminckii,af,Temminckse strandloper
Calidris tenuirostris,af,Grootknoet
Calonectris borealis,af,Geelbekpylstormvoël
Calonectris diomedea,af,Geelbekpylstormvoël
Calonectris leucomelas,af,Gestreepte pylstormvoël
Camarhynchus pallidus,af,Spegvink
Camaroptera brachyura,af,Groenrugkwêkwêvoël
Camelus bactrianus,af,baktriese kameel
Camelus dromedarius,af,Dromedaris
Campephaga flava,af,Swartkatakoeroe
Campethera abingoni,af,Goudstertspeg
Campethera bennettii,af,Bennettse speg
Campethera cailliautii,af,Gevlekte speg
Campethera notata,af,Knysnaspeg
Campethera scriptoricauda,af,Tanzaniese speg
Campicoloides bifasciatus,af,Bergklipwagter
Canis latrans,af,Amerikaanse Jakkals
Canis lupus,af,wolf
Capreolus capreolus,af,ree
Caprimulgus europaeus,af,Europese naguil
Caprimulgus fossii,af,Laeveldnaguil
Caprimulgus natalensis,af,Natalse naguil
Caprimulgus nigriscapularis,af,Swartskouernaguil
Caprimulgus pectoralis,af,Afrikaanse naguil
Caprimulgus ruficollis,af,Rooineknaguil
Caprimulgus rufigena,af,Rooiwangnaguil
Caprimulgus tristigma,af,Donkernaguil
Caprimulgus vexillarius,af,Wimpelvlerknaguil
Caracal caracal,af,Rooikat
Cardinalis cardinalis,af,Rooikardinaal
Castor canadensis,af,Bewer
Casuarius casuarius,af,Kasuaris
Catriscus brevirostris,af,Breëstertsanger
Ceblepyris caesius,af,Bloukatakoeroe
Ceblepyris pectoralis,af,Witborskatakoeroe
Cecropis abyssinica,af,Kleinstreepswael
Cecropis cucullata,af,Grootstreepswael
Cecropis daurica,af,Rooinekswael
Cecropis semirufa,af,Rooiborsswael
Cecropis senegalensis,af,Moskeeswael
Centropus cupreicaudus,af,Grootvleiloerie
Centropus grillii,af,Swartvleiloerie
Centropus senegalensis,af,Senegalvleiloerie
Centropus superciliosus,af,Gestreepte vleiloerie
Ceratotherium simum,af,Witrenoster
Cercococcyx montanus,af,Langstertkoekoek
Cercopithecus mitis,af,Samango-aap
Cercotrichas coryphoeus,af,Slangverklikker
Cercotrichas leucophrys,af,Gestreepte wipstert
Cercotrichas paena,af,Kalahariwipstert
Cercotrichas quadrivirgata,af,Baardwipstert
Cercotrichas signata,af,Bruinwipstert
Cereopsis novaehollandiae,af,Cereopsis-gans
Certhilauda chuana,af,Kortkloulewerik
Certhilauda curvirostris,af,Weskuslangbeklewerik
